epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,378.744,2.90286,0.68278,0.90249,1.18956,0.00333243,0.00333243,0.00333243
2,768.244,1.24554,0.7989,0.95718,0.71591,0.00644579,0.00644579,0.00644579
3,1149.45,0.99223,0.80684,0.95924,0.68385,0.00933915,0.00933915,0.00933915
4,1493.98,0.93059,0.82124,0.96485,0.63578,0.00901,0.00901,0.00901
5,1832.37,0.81322,0.83199,0.96672,0.59528,0.00868,0.00868,0.00868
6,2163.56,0.73714,0.85144,0.97401,0.52325,0.00835,0.00835,0.00835
7,2495.7,0.66038,0.85537,0.977,0.51224,0.00802,0.00802,0.00802
8,2825.99,0.6023,0.8692,0.97784,0.4864,0.00769,0.00769,0.00769
9,3156.57,0.56756,0.87154,0.97943,0.45926,0.00736,0.00736,0.00736
10,3489.32,0.51703,0.8793,0.98037,0.43534,0.00703,0.00703,0.00703
11,3822.54,0.48914,0.88369,0.98289,0.41354,0.0067,0.0067,0.0067
12,4153.46,0.4616,0.88566,0.98383,0.41891,0.00637,0.00637,0.00637
13,4486.04,0.42824,0.89127,0.98298,0.39709,0.00604,0.00604,0.00604
14,4818.48,0.40962,0.89417,0.98588,0.37553,0.00571,0.00571,0.00571
15,5150.77,0.37444,0.89959,0.98672,0.37477,0.00538,0.00538,0.00538
16,5480.62,0.35795,0.89893,0.98757,0.35827,0.00505,0.00505,0.00505
17,5811.73,0.3292,0.90679,0.98897,0.33778,0.00472,0.00472,0.00472
18,6143.77,0.307,0.90557,0.98841,0.34263,0.00439,0.00439,0.00439
19,6475.81,0.2879,0.91053,0.98915,0.32836,0.00406,0.00406,0.00406
20,6807.78,0.27185,0.91071,0.98915,0.32303,0.00373,0.00373,0.00373
21,7249.79,0.24783,0.90875,0.9899,0.32144,0.0034,0.0034,0.0034
22,7616.18,0.23868,0.91389,0.99,0.3133,0.00307,0.00307,0.00307
23,7976.16,0.21107,0.91632,0.99121,0.30503,0.00274,0.00274,0.00274
24,8336.11,0.19781,0.91735,0.99112,0.30477,0.00241,0.00241,0.00241
25,8697.22,0.18372,0.91838,0.99121,0.30125,0.00208,0.00208,0.00208
26,9056.94,0.16676,0.91819,0.99121,0.29659,0.00175,0.00175,0.00175
27,9415.14,0.15152,0.91894,0.99112,0.29273,0.00142,0.00142,0.00142
28,9773.82,0.13964,0.91988,0.99121,0.28823,0.00109,0.00109,0.00109
29,10140.1,0.12584,0.92062,0.99102,0.28482,0.00076,0.00076,0.00076
30,10514.4,0.11721,0.92006,0.99131,0.28234,0.00043,0.00043,0.00043
